target_scientific_name,segment,count,mean,std,min,25%,50%,75%,max
Orthohantavirus andesense,L,62.0,0.3693,0.0037,0.3617,0.3673,0.3687,0.3691,0.3811
Orthohantavirus andesense,M,75.0,0.4048,0.0038,0.3991,0.4031,0.4039,0.4049,0.418
Orthohantavirus andesense,S,96.0,0.4247,0.0081,0.4065,0.4194,0.4237,0.4277,0.4522
Orthohantavirus hantanense,L,272.0,0.3717,0.0032,0.3659,0.3697,0.3711,0.373,0.3806
Orthohantavirus hantanense,M,334.0,0.3992,0.0037,0.3867,0.3974,0.3994,0.401,0.4146
Orthohantavirus hantanense,S,452.0,0.4308,0.0083,0.4047,0.4271,0.4292,0.4322,0.4558
Orthohantavirus puumalaense,L,125.0,0.3598,0.007,0.3479,0.3562,0.357,0.3617,0.3817
Orthohantavirus puumalaense,M,140.0,0.3915,0.0067,0.3761,0.3865,0.3926,0.3944,0.4077
Orthohantavirus puumalaense,S,611.0,0.4054,0.0197,0.3629,0.3872,0.4006,0.4249,0.4441
Orthohantavirus seoulense,L,207.0,0.3744,0.0018,0.3685,0.3733,0.3743,0.3754,0.3796
Orthohantavirus seoulense,M,284.0,0.3969,0.0039,0.3881,0.3947,0.3963,0.4004,0.4068
Orthohantavirus seoulense,S,324.0,0.4287,0.0147,0.4016,0.42,0.4225,0.4279,0.4703
Orthohantavirus sinnombreense,L,52.0,0.3726,0.0055,0.3495,0.3718,0.3735,0.3751,0.3803
Orthohantavirus sinnombreense,M,61.0,0.3977,0.0043,0.3891,0.3941,0.3975,0.4022,0.4038
Orthohantavirus sinnombreense,S,70.0,0.4016,0.0188,0.3736,0.3873,0.392,0.4164,0.4388
