target_scientific_name,segment,count,mean,std,min,25%,50%,75%,max
Orthohantavirus andesense,L,62.0,0.00056,0.00247,0.0,0.0,0.0,0.0,0.01731
Orthohantavirus andesense,M,75.0,0.0055,0.02497,0.0,0.0,0.0,0.0,0.17766
Orthohantavirus andesense,S,96.0,6e-05,0.0002,0.0,0.0,0.0,0.0,0.00108
Orthohantavirus hantanense,L,272.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.00016
Orthohantavirus hantanense,M,334.0,1e-05,0.00014,0.0,0.0,0.0,0.0,0.00249
Orthohantavirus hantanense,S,452.0,2e-05,0.00024,0.0,0.0,0.0,0.0,0.00388
Orthohantavirus puumalaense,L,125.0,0.00138,0.00714,0.0,0.0,0.0,0.00015,0.0593
Orthohantavirus puumalaense,M,140.0,0.00104,0.00711,0.0,0.0,0.0,0.0,0.07752
Orthohantavirus puumalaense,S,611.0,3e-05,0.00038,0.0,0.0,0.0,0.0,0.0071
Orthohantavirus seoulense,L,207.0,0.00209,0.01978,0.0,0.0,0.0,0.0,0.25496
Orthohantavirus seoulense,M,284.0,0.00021,0.00158,0.0,0.0,0.0,0.0,0.01983
Orthohantavirus seoulense,S,324.0,0.00121,0.00842,0.0,0.0,0.0,0.0,0.09507
Orthohantavirus sinnombreense,L,52.0,0.08589,0.12744,0.0,0.0,0.0194,0.12289,0.56026
Orthohantavirus sinnombreense,M,61.0,0.04508,0.09737,0.0,0.0,0.0,0.02408,0.43019
Orthohantavirus sinnombreense,S,70.0,0.03017,0.07425,0.0,0.0,0.0,0.01124,0.47897
