target_scientific_name,country,n_sequences
Orthohantavirus andesense,Argentina,105
Orthohantavirus andesense,Argentina: Buenos Aires,34
Orthohantavirus andesense,Chile,31
Orthohantavirus andesense,Switzerland,12
Orthohantavirus andesense,Argentina: Entre Rios,3
Orthohantavirus andesense,Bolivia,3
Orthohantavirus andesense,Brazil,3
Orthohantavirus andesense,Chile: Region de Los Rios,3
Orthohantavirus andesense,Chile: Region de los Rios,3
Orthohantavirus andesense,Paraguay,2
Orthohantavirus andesense,Brazil: Goias State,1
Orthohantavirus andesense,Brazil: Sao Paulo State,1
Orthohantavirus andesense,Peru,1
Orthohantavirus andesense,Uruguay,1
Orthohantavirus hantanense,South Korea,400
Orthohantavirus hantanense,China,298
Orthohantavirus hantanense,China: Jiangxi,62
Orthohantavirus hantanense,South Korea: Jeju Island,45
Orthohantavirus hantanense,"China: Yanbian, Jilin",33
Orthohantavirus hantanense,China: Guizhou Province,30
Orthohantavirus hantanense,South Korea: Cheorwon,17
Orthohantavirus hantanense,China: Henan,15
Orthohantavirus hantanense,South Korea: Boseong-gun,15
Orthohantavirus hantanense,South Korea: Paju,10
Orthohantavirus hantanense,South Korea: Yeoncheon,9
Orthohantavirus hantanense,South Korea: Hongcheon,8
Orthohantavirus hantanense,Russia: Khabarovsk,6
Orthohantavirus hantanense,South Korea: Pyeongchang,6
Orthohantavirus hantanense,"Viet Nam: Hoang Lien National Park, Sa Pa Distrist, Lao Cai province",6
Orthohantavirus hantanense,South Korea: Gwangju-si,5
Orthohantavirus hantanense,China: Hubei province,4
Orthohantavirus hantanense,China: Jiangxi province,4
Orthohantavirus hantanense,"China: Lishui, Zhejiang",4
Orthohantavirus hantanense,China: Shichuan Province,4
Orthohantavirus hantanense,"China: Anyi, Jiangxi",3
Orthohantavirus hantanense,China: Hubei,3
Orthohantavirus hantanense,China: Jiangsu,3
Orthohantavirus hantanense,China: Jilin Province,3
Orthohantavirus hantanense,China: Yunnan,3
Orthohantavirus hantanense,South Korea: Hwacheon,3
Orthohantavirus hantanense,South Korea: Inje,3
Orthohantavirus hantanense,China: Jilin Changbai,2
Orthohantavirus hantanense,Russia,2
Orthohantavirus hantanense,China: Dandong,1
Orthohantavirus hantanense,China: Heilongjiang Province,1
Orthohantavirus hantanense,China: Jingmen Hubei,1
Orthohantavirus hantanense,China: Yunan Province,1
Orthohantavirus hantanense,"Russia: Zabaikalsky Krai, Baley",1
Orthohantavirus puumalaense,Russia,133
Orthohantavirus puumalaense,Belgium,81
Orthohantavirus puumalaense,Russia: the Republic of Tatarstan,73
Orthohantavirus puumalaense,France,57
Orthohantavirus puumalaense,Russia: Saratov,56
Orthohantavirus puumalaense,Germany,43
Orthohantavirus puumalaense,Sweden,43
Orthohantavirus puumalaense,South Korea,28
Orthohantavirus puumalaense,Finland,22
Orthohantavirus puumalaense,Germany: Baden-Wuerttemberg,17
Orthohantavirus puumalaense,Germany: North Rhine-Westphalia,15
Orthohantavirus puumalaense,Japan,14
Orthohantavirus puumalaense,France: Jura,11
Orthohantavirus puumalaense,"Japan:Hokkaido, Kitahiyama",10
Orthohantavirus puumalaense,Netherlands,9
Orthohantavirus puumalaense,Russia: Republic of Bashkortostan,9
Orthohantavirus puumalaense,Russia: Republic of Tatarstan,9
Orthohantavirus puumalaense,Russia: the Republic of Bashkortostan,9
Orthohantavirus puumalaense,Slovenia,9
Orthohantavirus puumalaense,Russia: Omsk region,8
Orthohantavirus puumalaense,Croatia,7
Orthohantavirus puumalaense,"Japan:Hokkaido, Tobetsu",7
Orthohantavirus puumalaense,China,6
Orthohantavirus puumalaense,"Germany: Steinheim, Baden-Wuerttemberg",6
Orthohantavirus puumalaense,Russia: Ulyanovsk region,6
Orthohantavirus puumalaense,Russia: Chelyabinsk Oblast,5
Orthohantavirus puumalaense,"Russia: Volga Federal District, Samara oblast, Zigulevsk",5
Orthohantavirus puumalaense,Sweden:Bussjo,5
Orthohantavirus puumalaense,Sweden:Gumboda,5
Orthohantavirus puumalaense,Sweden:Norum,5
Orthohantavirus puumalaense,Ukraine,5
Orthohantavirus puumalaense,Finland: Pieksamaki,4
Orthohantavirus puumalaense,Russia: Bashkiria,4
Orthohantavirus puumalaense,"Russia: Volga Federal District, Samara oblast, Novosemejkino",4
Orthohantavirus puumalaense,Sweden:Palbole,4
Orthohantavirus puumalaense,Switzerland,4
Orthohantavirus puumalaense,Belgium:Montbliart,3
Orthohantavirus puumalaense,Denmark:Fyn,3
Orthohantavirus puumalaense,"Germany: Lower Saxony, District Osnabruck, Astrup",3
Orthohantavirus puumalaense,"Japan:Hokkaido, Shari",3
Orthohantavirus puumalaense,Latvia: Jelgava,3
Orthohantavirus puumalaense,Lithuania,3
Orthohantavirus puumalaense,Lithuania: Dembava,3
Orthohantavirus puumalaense,Lithuania: Lukstas,3
Orthohantavirus puumalaense,Russia: Saratov region Khvalynsky district,3
Orthohantavirus puumalaense,Russia:Karelia,3
Orthohantavirus puumalaense,"Russia:Sakhalin, Yuzhno-Sakhalinsk",3
Orthohantavirus puumalaense,Sweden:Djaknebole,3
Orthohantavirus puumalaense,Sweden:Skaran,3
Orthohantavirus puumalaense,Belgium:Momignies,2
Orthohantavirus puumalaense,"Germany: Geislingen, Stoetten, Baden-Wuerttemberg",2
Orthohantavirus puumalaense,"Germany: Moessingen, Baden-Wuerttemberg",2
Orthohantavirus puumalaense,"Germany: Stuttgart, Buesnau, Baden-Wuerttemberg",2
Orthohantavirus puumalaense,"Germany: Zussdorf, Wilhelmsdorf, Baden-Wuerttemberg",2
Orthohantavirus puumalaense,Germany:NRW,2
Orthohantavirus puumalaense,Hungary,2
Orthohantavirus puumalaense,"Japan:Hokkaido, Nakagawa",2
Orthohantavirus puumalaense,Latvia: Madona,2
Orthohantavirus puumalaense,Poland: Telesnica Oszwarowa,2
Orthohantavirus puumalaense,Russia: Altai Republic,2
Orthohantavirus puumalaense,Russia: Chelyabinsk Oblas,2
Orthohantavirus puumalaense,Russia: Samara Region,2
Orthohantavirus puumalaense,Austria:Carinthia,1
Orthohantavirus puumalaense,Austria:Lower Austria,1
Orthohantavirus puumalaense,Belgium:Couvin,1
Orthohantavirus puumalaense,Belgium:Thuin,1
Orthohantavirus puumalaense,"Germany: Crailsheim, Baden-Wuerttemberg",1
Orthohantavirus puumalaense,"Germany: Kenzingen, Baden-Wuerttemberg",1
Orthohantavirus puumalaense,"Germany: Michelbach, Baden-Wuerttemberg",1
Orthohantavirus puumalaense,"Japan:Hokkaido, Bihoro",1
Orthohantavirus puumalaense,"Japan:Hokkaido, Ishikari Port",1
Orthohantavirus puumalaense,"Japan:Hokkaido, Kiritappu",1
Orthohantavirus puumalaense,Poland: Mikolajki,1
Orthohantavirus puumalaense,Russia: Altai Krai,1
Orthohantavirus puumalaense,Russia: Altai region,1
Orthohantavirus puumalaense,"Russia: Bashkortostan, Blagoveshchenskiy district",1
Orthohantavirus puumalaense,Russia: Buryatia Republic,1
Orthohantavirus puumalaense,Russia: Chuvash Republic,1
Orthohantavirus puumalaense,Russia: Irkutsk Oblast,1
Orthohantavirus puumalaense,Russia: Saratov region Novoburassky district,1
Orthohantavirus puumalaense,Russia: Tiumen Oblast,1
Orthohantavirus puumalaense,Russia: the Republic of Mordovia,1
Orthohantavirus puumalaense,Russia: the Udmurt Republic,1
Orthohantavirus puumalaense,"Russia:Sakhalin,Yuzhno-Sakhalinsk",1
Orthohantavirus puumalaense,"Russia:Volga Federal District, Samara oblast, Novosemejkino",1
Orthohantavirus puumalaense,"Russia:Volga Federal District, Samara oblast, Zigulevsk",1
Orthohantavirus puumalaense,Slovakia,1
Orthohantavirus puumalaense,Sweden: County of Vasterbotten,1
Orthohantavirus seoulense,China,464
Orthohantavirus seoulense,South Korea,27
Orthohantavirus seoulense,China: Hubei province,24
Orthohantavirus seoulense,China: Zhoushan,24
Orthohantavirus seoulense,France: Lyon,23
Orthohantavirus seoulense,United Kingdom,21
Orthohantavirus seoulense,USA: Illinois,19
Orthohantavirus seoulense,China: Beijing,15
Orthohantavirus seoulense,Netherlands,12
Orthohantavirus seoulense,Viet Nam:Saigon harbor,12
Orthohantavirus seoulense,Mali: Bamako,10
Orthohantavirus seoulense,China: Yunnan,9
Orthohantavirus seoulense,China: Gongzhuling,8
Orthohantavirus seoulense,China: Jiangxi,7
Orthohantavirus seoulense,China: Fujian Province,6
