target_scientific_name,country,n_sequences
Orthohantavirus andesense,Argentina,105
Orthohantavirus andesense,Argentina: Buenos Aires,34
Orthohantavirus andesense,Chile,31
Orthohantavirus andesense,Switzerland,12
Orthohantavirus andesense,Argentina: Entre Rios,3
Orthohantavirus hantanense,South Korea,400
Orthohantavirus hantanense,China,298
Orthohantavirus hantanense,China: Jiangxi,62
Orthohantavirus hantanense,South Korea: Jeju Island,45
Orthohantavirus hantanense,"China: Yanbian, Jilin",33
Orthohantavirus puumalaense,Russia,133
Orthohantavirus puumalaense,Belgium,81
Orthohantavirus puumalaense,Russia: the Republic of Tatarstan,73
Orthohantavirus puumalaense,France,57
Orthohantavirus puumalaense,Russia: Saratov,56
Orthohantavirus seoulense,China,464
Orthohantavirus seoulense,South Korea,27
Orthohantavirus seoulense,China: Hubei province,24
Orthohantavirus seoulense,China: Zhoushan,24
Orthohantavirus seoulense,France: Lyon,23
Orthohantavirus sinnombreense,USA,63
Orthohantavirus sinnombreense,USA: Washington State,27
Orthohantavirus sinnombreense,USA: CA,19
Orthohantavirus sinnombreense,USA: CO,9
Orthohantavirus sinnombreense,USA: Western MT,9
