target_scientific_name,collection_year,n_sequences
Orthohantavirus andesense,1990,2
Orthohantavirus andesense,1996,1
Orthohantavirus andesense,1997,4
Orthohantavirus andesense,1998,2
Orthohantavirus andesense,1999,6
Orthohantavirus andesense,2002,19
Orthohantavirus andesense,2006,1
Orthohantavirus andesense,2008,2
Orthohantavirus andesense,2009,1
Orthohantavirus andesense,2010,4
Orthohantavirus andesense,2011,3
Orthohantavirus andesense,2016,8
Orthohantavirus andesense,2017,1
Orthohantavirus andesense,2018,6
Orthohantavirus andesense,2019,3
Orthohantavirus andesense,2022,10
Orthohantavirus andesense,2024,12
Orthohantavirus andesense,2026,3
Orthohantavirus hantanense,1982,3
Orthohantavirus hantanense,2002,5
Orthohantavirus hantanense,2003,11
Orthohantavirus hantanense,2004,3
Orthohantavirus hantanense,2005,16
Orthohantavirus hantanense,2006,1
Orthohantavirus hantanense,2007,5
Orthohantavirus hantanense,2008,27
Orthohantavirus hantanense,2009,54
Orthohantavirus hantanense,2010,54
Orthohantavirus hantanense,2011,41
Orthohantavirus hantanense,2012,12
Orthohantavirus hantanense,2013,13
Orthohantavirus hantanense,2014,67
Orthohantavirus hantanense,2015,32
Orthohantavirus hantanense,2016,48
Orthohantavirus hantanense,2017,109
Orthohantavirus hantanense,2018,64
Orthohantavirus hantanense,2019,128
Orthohantavirus hantanense,2020,46
Orthohantavirus hantanense,2021,72
Orthohantavirus hantanense,2022,65
Orthohantavirus hantanense,2023,44
Orthohantavirus hantanense,2024,1
Orthohantavirus puumalaense,1986,3
Orthohantavirus puumalaense,1987,3
Orthohantavirus puumalaense,1994,1
Orthohantavirus puumalaense,1997,3
Orthohantavirus puumalaense,1998,4
Orthohantavirus puumalaense,2000,6
Orthohantavirus puumalaense,2004,3
Orthohantavirus puumalaense,2005,37
Orthohantavirus puumalaense,2006,9
Orthohantavirus puumalaense,2007,41
Orthohantavirus puumalaense,2008,28
Orthohantavirus puumalaense,2009,4
Orthohantavirus puumalaense,2010,53
Orthohantavirus puumalaense,2011,16
Orthohantavirus puumalaense,2012,38
Orthohantavirus puumalaense,2013,13
Orthohantavirus puumalaense,2014,4
Orthohantavirus puumalaense,2015,54
Orthohantavirus puumalaense,2016,11
Orthohantavirus puumalaense,2017,35
Orthohantavirus puumalaense,2018,17
Orthohantavirus puumalaense,2019,184
Orthohantavirus puumalaense,2020,23
Orthohantavirus puumalaense,2021,6
Orthohantavirus puumalaense,2022,40
Orthohantavirus puumalaense,2023,44
Orthohantavirus seoulense,1981,3
Orthohantavirus seoulense,1983,2
Orthohantavirus seoulense,1984,10
Orthohantavirus seoulense,1992,3
Orthohantavirus seoulense,1993,16
Orthohantavirus seoulense,1996,1
Orthohantavirus seoulense,1999,3
Orthohantavirus seoulense,2000,9
Orthohantavirus seoulense,2001,8
Orthohantavirus seoulense,2002,25
Orthohantavirus seoulense,2003,6
Orthohantavirus seoulense,2004,7
Orthohantavirus seoulense,2005,9
Orthohantavirus seoulense,2006,7
Orthohantavirus seoulense,2007,27
Orthohantavirus seoulense,2008,20
Orthohantavirus seoulense,2009,37
Orthohantavirus seoulense,2010,16
Orthohantavirus seoulense,2011,67
Orthohantavirus seoulense,2012,22
Orthohantavirus seoulense,2013,31
Orthohantavirus seoulense,2014,15
Orthohantavirus seoulense,2015,21
Orthohantavirus seoulense,2016,13
Orthohantavirus seoulense,2017,70
Orthohantavirus seoulense,2018,34
Orthohantavirus seoulense,2019,51
Orthohantavirus seoulense,2020,35
Orthohantavirus seoulense,2021,92
Orthohantavirus seoulense,2022,23
Orthohantavirus seoulense,2023,25
Orthohantavirus seoulense,2024,35
Orthohantavirus seoulense,2025,6
Orthohantavirus sinnombreense,1994,3
Orthohantavirus sinnombreense,1999,8
Orthohantavirus sinnombreense,2000,3
Orthohantavirus sinnombreense,2003,1
Orthohantavirus sinnombreense,2005,3
Orthohantavirus sinnombreense,2006,2
Orthohantavirus sinnombreense,2008,3
Orthohantavirus sinnombreense,2009,4
Orthohantavirus sinnombreense,2011,7
Orthohantavirus sinnombreense,2012,2
Orthohantavirus sinnombreense,2013,3
Orthohantavirus sinnombreense,2015,3
Orthohantavirus sinnombreense,2017,11
Orthohantavirus sinnombreense,2018,10
Orthohantavirus sinnombreense,2019,11
Orthohantavirus sinnombreense,2020,50
Orthohantavirus sinnombreense,2021,3
Orthohantavirus sinnombreense,2023,27
