segment,collection_year,n_sequences
L,1981,1
L,1982,1
L,1983,1
L,1984,5
L,1986,1
L,1987,1
L,1990,1
L,1992,1
L,1993,6
L,1994,1
L,1997,3
L,1998,2
L,1999,6
L,2000,4
L,2001,3
L,2002,13
L,2003,6
L,2004,2
L,2005,10
L,2006,1
L,2007,2
L,2008,3
L,2009,6
L,2010,20
L,2011,17
L,2012,11
L,2013,13
L,2014,31
L,2015,23
L,2016,26
L,2017,65
L,2018,34
L,2019,110
L,2020,40
L,2021,51
L,2022,45
L,2023,45
L,2024,17
L,2025,3
L,2026,1
M,1981,1
M,1982,1
M,1983,1
M,1984,1
M,1987,1
M,1990,1
M,1992,1
M,1993,5
M,1994,1
M,1997,2
M,1998,1
M,1999,6
M,2000,4
M,2001,3
M,2002,16
M,2003,3
M,2004,2
M,2005,10
M,2006,1
M,2007,7
M,2008,14
M,2009,33
M,2010,28
M,2011,52
M,2012,9
M,2013,24
M,2014,25
M,2015,23
M,2016,24
M,2017,64
M,2018,35
M,2019,109
M,2020,43
M,2021,53
M,2022,49
M,2023,60
M,2024,16
M,2025,3
M,2026,1
S,1981,1
S,1982,1
S,1984,4
S,1986,2
S,1987,1
S,1992,1
S,1993,5
S,1994,2
S,1996,2
S,1997,2
S,1998,3
S,1999,5
S,2000,10
S,2001,2
S,2002,20
S,2003,9
S,2004,9
S,2005,45
S,2006,18
S,2007,64
S,2008,63
S,2009,61
S,2010,79
S,2011,65
S,2012,54
S,2013,23
S,2014,30
S,2015,64
S,2016,30
S,2017,97
S,2018,62
S,2019,158
S,2020,71
S,2021,69
S,2022,44
S,2023,35
S,2024,15
S,2026,1
