accession,accession_no_version,description,package,target_short_name,target_scientific_name,target_taxid,species,taxid,segment,length,gc_content,seq_sha256,length_qc_flag,freq_A,freq_C,freq_G,freq_T,n_count,ambiguous_other_count,ambiguous_rate,valid_like_count,species_ncbi,taxid_ncbi,isolate,host,country,region,collection_date,nuc_completeness,segment_metadata,metadata_title,is_duplicate_seq_within_species_segment
OR405523.1,OR405523,"OR405523.1 Orthohantavirus andesense isolate ANDV-CH-LS-2016 segment L RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,5924,0.3646185010128291,41cf8c36ea8edd0639acafb20216d7fc61062a86626ff3b81454faa65d72ec6b,within_expected_range,0.3349088453747468,0.1536124240378122,0.2110060769750169,0.300472653612424,0,0,0.0,5924,,1980456,ANDV-CH-LS-2016,,Switzerland,,2016,PARTIAL,L,,False
OR405522.1,OR405522,"OR405522.1 Orthohantavirus andesense isolate ANDV-CH-LS-2022 segment L RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6244,0.3661701105237866,64ba088c811d33c99114c73bd8ab3251a7ed1acbfb24caa9f93840b27c4315c3,within_expected_range,0.3342944097389075,0.1539324042928079,0.2122377062309787,0.2995354797373057,1,0,0.0001601537475976,6244,,1980456,ANDV-CH-LS-2022,,Switzerland,,2022,PARTIAL,L,,False
OP555736.1,OP555736,"OP555736.1 Orthohantavirus andesense isolate Arg-h484 RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6443,0.3751358063014124,76b8a88cf905dd01b506cb8f8cd3c5ecbac3e1b75ca69ed13c5bf2a7e4832711,within_expected_range,0.326711159397796,0.158311345646438,0.2168244606549744,0.2981530343007915,0,0,0.0,6443,,1980456,Arg-h484,,Argentina,,,PARTIAL,L,,False
PP151167.1,PP151167,"PP151167.1 Orthohantavirus andesense isolate BA02_VO483 RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6443,0.3735837342852708,18d287f2f8910c2ed4ab05a075470204ed8134ea43a78239cb9883f1555350a2,within_expected_range,0.326711159397796,0.1569144808319106,0.2166692534533602,0.2997051063169331,0,0,0.0,6443,,1980456,BA02_VO483,,Argentina: Buenos Aires,,2002,PARTIAL,L,,False
PP151168.1,PP151168,"PP151168.1 Orthohantavirus andesense isolate BA02_RJF487 RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6443,0.3729629054788142,59e469e67f7ac04af3191a4bd404f0e82a06d1ee385d3fb7d6bc60ecd8cd4b56,within_expected_range,0.3273319882042527,0.1567592736302964,0.2162036318485177,0.2997051063169331,0,0,0.0,6443,,1980456,BA02_RJF487,,Argentina: Buenos Aires,,2002,PARTIAL,L,,False
PP151170.1,PP151170,"PP151170.1 Orthohantavirus andesense isolate BA02_ROM495 RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6443,0.3731181126804284,06df9ad70660ae947c1d7be84b2f00d19812e1e3fcfb08e3dbbacd52f7f19ca3,within_expected_range,0.3273319882042527,0.1569144808319106,0.2162036318485177,0.2995498991153189,0,0,0.0,6443,,1980456,BA02_ROM495,,Argentina: Buenos Aires,,2002,PARTIAL,L,,False
PP151171.1,PP151171,"PP151171.1 Orthohantavirus andesense isolate BA16_LJC1557 RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6443,0.3732733198820425,9d2f8e914b33fe9101fbf21e674e80e6e9d1373d9a3bfab12f3fc8446ea3433f,within_expected_range,0.3281080242123234,0.1575353096383672,0.2157380102436753,0.298618655905634,0,0,0.0,6443,,1980456,BA16_LJC1557,,Argentina: Buenos Aires,,2016,PARTIAL,L,,False
OP555735.1,OP555735,"OP555735.1 Orthohantavirus andesense isolate Andes/ARG-M.a. RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6462,0.3673785205818632,56ba68af77e5e1ad8e0b667a4490fce41cc198d9c69fd8eef2898222d3ff6b04,within_expected_range,0.3320953265242959,0.1533580934695141,0.2140204271123491,0.3005261528938409,0,0,0.0,6462,,1980456,Andes/ARG-M.a.,,Argentina,,,PARTIAL,L,,False
MN850093.1,MN850093,"MN850093.1 Orthohantavirus andesense strain AREB14/P1 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6464,0.3681930693069307,3a7de4e7155aecf2ccdd9a8e1fcdb8a146e0c759de27d0f81fef651e4894c85c,within_expected_range,0.333539603960396,0.1556311881188118,0.2125618811881188,0.2982673267326732,0,0,0.0,6464,,1980456,AREB14/P1,,,,,COMPLETE,L,,False
AY228239.1,AY228239,"AY228239.1 Andes virus strain CHI-7913 segment L RNA dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6466,0.3675174013921113,fc19040106b2e6ff9f8788695fd1ba754cd434e9e0ed01d521c70114d28798ce,within_expected_range,0.3328692962103635,0.1543696829079659,0.2131477184841454,0.2996133023975251,0,1,0.0001546551190844,6465,,1980456,CHI-7913,,Chile,,,PARTIAL,L,,False
MT956620.1,MT956620,"MT956620.1 Orthohantavirus andesense strain CHI-7913 segment L RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6466,0.3657593566347046,5f714d6105a431ac1051027485cb8fd3247513360a96f734c947d5fbcd751966,within_expected_range,0.3339004021033096,0.1531085678935972,0.2126507887411073,0.3003402412619858,0,0,0.0,6466,,1980456,CHI-7913,,Chile,,1999,PARTIAL,L,,False
KY659431.1,KY659431,"KY659431.1 Orthohantavirus andesense strain ANDV LS-CH-2016 RNA-dependent RNA polymerase gene, complete cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6470,0.3669242658423493,ff213bd85e310aba7bb5afd8fe1e722774713c58941904e52fd4fed8aeb3ce08,within_expected_range,0.3341576506955178,0.1536321483771252,0.2132921174652241,0.2989180834621329,0,0,0.0,6470,,1980456,ANDV LS-CH-2016,,Switzerland,,2016-12-26,PARTIAL,L,,False
PP151169.1,PP151169,"PP151169.1 Orthohantavirus andesense isolate BA02_AOA490 RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6473,0.3729337247026108,d054c57036f6cc5a9d99b4805077149235ea78b919e9043818d9d00eb540728f,within_expected_range,0.3276687780009269,0.1568051907925227,0.216128533910088,0.2993974972964622,0,0,0.0,6473,,1980456,BA02_AOA490,,Argentina: Buenos Aires,,2002,PARTIAL,L,,False
OP555733.1,OP555733,"OP555733.1 Orthohantavirus andesense isolate Andes/ARG_p9 RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6475,0.3669498069498069,16f4ad550e77736291dcae535418d72999fb326e9e955464ebe4574786c2584b,within_expected_range,0.3325096525096525,0.1532046332046332,0.2137451737451737,0.3005405405405405,0,0,0.0,6475,,1980456,Andes/ARG_p9,,Argentina,,,PARTIAL,L,,False
OP555734.1,OP555734,"OP555734.1 Orthohantavirus andesense isolate Andes/ARG_p19 RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6475,0.3667953667953668,ab36914283e6b2540b42a3f039cea2e5ca0ec7103d856804135c4273ebd38157,within_expected_range,0.3325096525096525,0.153050193050193,0.2137451737451737,0.3006949806949807,0,0,0.0,6475,,1980456,Andes/ARG_p19,,Argentina,,,PARTIAL,L,,False
PQ215670.1,PQ215670,"PQ215670.1 Orthohantavirus andesense strain Epuyen RNA polymerase RNA dependent gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6477,0.3697699552261849,484d8b58c5c9a5af7bdce0c9e578996d8126afa02ffcc58eb27790bffd17bfdb,within_expected_range,0.3328701559363903,0.1553188204415624,0.2144511347846225,0.2973598888374247,0,0,0.0,6477,,1980456,Epuyen,,Argentina,,2022,PARTIAL,,,False
PP151166.1,PP151166,"PP151166.1 Orthohantavirus andesense isolate BA02_VVN481 RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6482,0.3742672014810244,cd7f7a2e81c65ee866da30001c7833a355e3611b45ea3ec598afaddbd25061b7,within_expected_range,0.3262881826596729,0.1572045664918235,0.2170626349892008,0.2994446158593027,0,0,0.0,6482,,1980456,BA02_VVN481,,Argentina: Buenos Aires,,2002,PARTIAL,L,,False
MN258162.1,MN258162,"MN258162.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_10_12/10/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6528,0.3699142634450507,7ca098894f27f0cbf0c8d4ba4bb063137e82d38288014a8a2904856a846834ae,within_expected_range,0.3312548713951675,0.1557287607170693,0.2141855027279813,0.2988308651597817,113,0,0.0173100490196078,6528,,1980456,Epuyen/18-19_Patient_10_12/10/18,,Argentina,,,COMPLETE,L,,False
MN850095.1,MN850095,"MN850095.1 Orthohantavirus andesense strain AREB14/P3 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6528,0.3673406862745098,24768497cbd4cb6a427e5213a85428ff9a8ee29527acc8d3a089198504a6265c,within_expected_range,0.3334865196078431,0.1548713235294117,0.212469362745098,0.2991727941176471,0,0,0.0,6528,,1980456,AREB14/P3,,,,,COMPLETE,L,,False
MN258163.1,MN258163,"MN258163.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_11_12/15/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6529,0.3690585709904937,3c85db7a3b0c384aaceb7344b87777467405800ba1ff77a2390cee84c4123442,within_expected_range,0.3321067157313707,0.1553204538485127,0.213738117141981,0.2988347132781355,7,0,0.0010721396844846,6529,,1980456,Epuyen/18-19_Patient_11_12/15/18,,Argentina,,,COMPLETE,L,,False
MN258167.1,MN258167,"MN258167.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_15_12/26/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6531,0.3688562241616904,5c39b9711fd7ca290aecf9de9459a35e4379f5666f8762a4f2f05f400a838dd6,within_expected_range,0.33210840606339,0.1552595314653192,0.2135966926963711,0.2990353697749196,0,0,0.0,6531,,1980456,Epuyen/18-19_Patient_15_12/26/18,,Argentina,,,COMPLETE,L,,False
MN258170.1,MN258170,"MN258170.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_18_12/31/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6531,0.3690292758089368,f7592de55ef64663e67d49217d01e3331f028ace6c239d6a26dbb85a847fc0ae,within_expected_range,0.3318952234206471,0.1546995377503852,0.2143297380585516,0.299075500770416,41,0,0.0062777522584596,6531,,1980456,Epuyen/18-19_Patient_18_12/31/18,,Argentina,,,COMPLETE,L,,False
MN850096.1,MN850096,"MN850096.1 Orthohantavirus andesense strain ARCH14/NRC1 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6531,0.3673250650742612,e8828fcacc6a70781637ad68a610d7ded9bb51cedcdb69a82cf16a8e19547517,within_expected_range,0.3313428265196754,0.1538814882866329,0.2134435767876282,0.3013321084060634,0,0,0.0,6531,,1980456,ARCH14/NRC1,,,,,COMPLETE,L,,False
MN258176.1,MN258176,"MN258176.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_24_1/3/19 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6532,0.3687997550520514,ff2f98e6bafe35bf6ee548b2a14375543500da15c5f4c9452d9644c05cd4f1d7,within_expected_range,0.3320575627679118,0.1552357624004899,0.2135639926515615,0.2991426821800367,0,0,0.0,6532,,1980456,Epuyen/18-19_Patient_24_1/3/19,,Argentina,,,COMPLETE,L,,False
MN850097.1,MN850097,"MN850097.1 Orthohantavirus andesense strain ARLA17/NRC2 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6532,0.3675750153092468,6df44fb828850d13e01327375c805e14b3cdd2046be923fdaeb7648f4377d0fe,within_expected_range,0.3320575627679118,0.1538579301898346,0.2137170851194121,0.3003674219228414,0,0,0.0,6532,,1980456,ARLA17/NRC2,,,,,COMPLETE,L,,False
MN258179.1,MN258179,"MN258179.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_27_1/8/19 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6533,0.3687433032297566,01f46be22ff7c0e8dcbc064418a6e724511cbd3fb2ce8201a7f115bcdd2270bc,within_expected_range,0.3320067350375019,0.1552120006122761,0.2135313026174805,0.2992499617327415,0,0,0.0,6533,,1980456,Epuyen/18-19_Patient_27_1/8/19,,Argentina,,,COMPLETE,L,,False
PP058738.1,PP058738,"PP058738.1 Orthohantavirus andesense isolate 807266_L|Paraguay|1997 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6537,0.3674468410585895,44b73f21f6abbe8bee7e4172de13c01c3a68cfe2d68111df3c63fb944d95e296,within_expected_range,0.3307327520269236,0.1549640507878231,0.2124827902707664,0.3018204069144867,0,0,0.0,6537,,1980456,807266_L|Paraguay|1997,,Paraguay,,1997,PARTIAL,L,,False
OQ092243.1,OQ092243,"OQ092243.1 Andes orthohantavirus strain VARS/22-01 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6538,0.373661670235546,5b147c1b85ff109707fc9b737adf3757e4d78007b6c724d1324f8daa1f9bef5d,within_expected_range,0.3257877026613643,0.1579993881921076,0.2156622820434383,0.3005506271030896,0,0,0.0,6538,,1980456,VARS/22-01,,Brazil,,2022-12-09,COMPLETE,L,,False
MN258160.1,MN258160,"MN258160.1 Orthohantavirus andesense isolate NRC-5/18_06/01/2018 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6539,0.3617282059138961,80a49295710645db9f377993f2c1f8cca9910ba63cf63a999794d04bc7c4b762,within_expected_range,0.3343036617128849,0.1506051784893519,0.2111230274245442,0.3039681323732189,12,0,0.0018351429882244,6539,,1980456,NRC-5/18_06/01/2018,,Argentina,,,COMPLETE,L,,False
MN258173.1,MN258173,"MN258173.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_20_1/1/19 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6539,0.3687108120507723,b4b16eaa2015735aab0e5148e7ed641c0671e1b34e3a0a5fd614631a696e2999,within_expected_range,0.3321608808686343,0.1550695825049702,0.2136412295458021,0.2991283070805933,0,0,0.0,6539,,1980456,Epuyen/18-19_Patient_20_1/1/19,,Argentina,,,COMPLETE,L,,False
MN258182.1,MN258182,"MN258182.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_3_11/20/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6539,0.3687108120507723,47bc168adf96d1fc918903dbc32eb98350ab41828c563c8c4a868ee820d70759,within_expected_range,0.3320079522862823,0.1550695825049702,0.2136412295458021,0.2992812356629454,0,0,0.0,6539,,1980456,Epuyen/18-19_Patient_3_11/20/18,,Argentina,,,COMPLETE,L,,False
MN258158.1,MN258158,"MN258158.1 Orthohantavirus andesense isolate NRC-3/18_06/01/1997 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6540,0.3675840978593272,d351df533b2f74e43a57c426fa3bd59bb7ffce7ad4c2e62ce00da3165b7fd270,within_expected_range,0.3307339449541284,0.1529051987767584,0.2146788990825688,0.3016819571865443,0,0,0.0,6540,,1980456,NRC-3/18_06/01/1997,,Argentina,,,COMPLETE,L,,False
