accession,accession_no_version,description,package,target_short_name,target_scientific_name,target_taxid,species,taxid,segment,length,gc_content,seq_sha256,length_qc_flag,freq_A,freq_C,freq_G,freq_T,n_count,ambiguous_other_count,ambiguous_rate,valid_like_count,species_ncbi,taxid_ncbi,isolate,host,country,region,collection_date,nuc_completeness,segment_metadata,metadata_title,is_duplicate_seq_within_species_segment
AH011553.2,AH011553,"AH011553.2 Andes virus RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,431,0.4018126888217522,1f8775a4b2efb66cf66cd3f195839f22c46e5da78a809a2c3d8ccd7efbd8cd34,too_short_for_segment,0.2809667673716012,0.1722054380664652,0.229607250755287,0.3172205438066465,100,0,0.2320185614849187,431,,1980456,AH-1,,,,,PARTIAL,L,,False
KF581136.1,KF581136,"KF581136.1 Castelo dos Sonhos virus isolate 769 RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,139033,L,572,0.3846153846153846,fead7384060a3e2ef13fd242f47d112c7de54509f01822d94c638e00b8d0d4b1,too_short_for_segment,0.3251748251748251,0.1486013986013986,0.236013986013986,0.2902097902097902,0,0,0.0,572,,139033,769,,Peru,,2010,PARTIAL,L,,False
AF324900.1,AF324900,"AF324900.1 Andes virus strain AH-1 segment L polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,606,0.3498349834983498,ad12cdb8ff3e6f4adf2c70f77efe2a9b5b27e407d3428244bc7720c4a6fce340,too_short_for_segment,0.3267326732673267,0.1452145214521452,0.2046204620462046,0.3234323432343234,0,0,0.0,606,,1980456,AH-1,,,,,PARTIAL,L,,False
PQ373861.1,PQ373861,"PQ373861.1 Orthohantavirus andesense isolate Guachipas 2024 RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,1675,0.3767164179104477,8dcd937b6a6dfe5e4effaa7dc5e9077c919d1a5176f07c153fb30963ac0ce45e,too_short_for_segment,0.3152238805970149,0.146865671641791,0.2298507462686567,0.3080597014925373,0,0,0.0,1675,,1980456,Guachipas 2024,,"Argentina: Guachipas, Salta",,2024,PARTIAL,,,False
PP504849.1,PP504849,"PP504849.1 Orthohantavirus andesense isolate BA02_VVD480 segment L RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,3892,0.3748071979434447,9fbbe53fe9b90d3fdd76c6f6aaea89652a5919771694cf9718e7c4be7ea3835b,too_short_for_segment,0.3218508997429306,0.1524421593830334,0.2223650385604113,0.3033419023136247,0,2,0.000513874614594,3890,,1980456,BA02_VVD480,,Argentina: Buenos Aires,,2002,PARTIAL,L,,False
OR405523.1,OR405523,"OR405523.1 Orthohantavirus andesense isolate ANDV-CH-LS-2016 segment L RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,5924,0.3646185010128291,41cf8c36ea8edd0639acafb20216d7fc61062a86626ff3b81454faa65d72ec6b,within_expected_range,0.3349088453747468,0.1536124240378122,0.2110060769750169,0.300472653612424,0,0,0.0,5924,,1980456,ANDV-CH-LS-2016,,Switzerland,,2016,PARTIAL,L,,False
OR405522.1,OR405522,"OR405522.1 Orthohantavirus andesense isolate ANDV-CH-LS-2022 segment L RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6244,0.3661701105237866,64ba088c811d33c99114c73bd8ab3251a7ed1acbfb24caa9f93840b27c4315c3,within_expected_range,0.3342944097389075,0.1539324042928079,0.2122377062309787,0.2995354797373057,1,0,0.0001601537475976,6244,,1980456,ANDV-CH-LS-2022,,Switzerland,,2022,PARTIAL,L,,False
OP555736.1,OP555736,"OP555736.1 Orthohantavirus andesense isolate Arg-h484 RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6443,0.3751358063014124,76b8a88cf905dd01b506cb8f8cd3c5ecbac3e1b75ca69ed13c5bf2a7e4832711,within_expected_range,0.326711159397796,0.158311345646438,0.2168244606549744,0.2981530343007915,0,0,0.0,6443,,1980456,Arg-h484,,Argentina,,,PARTIAL,L,,False
PP151167.1,PP151167,"PP151167.1 Orthohantavirus andesense isolate BA02_VO483 RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6443,0.3735837342852708,18d287f2f8910c2ed4ab05a075470204ed8134ea43a78239cb9883f1555350a2,within_expected_range,0.326711159397796,0.1569144808319106,0.2166692534533602,0.2997051063169331,0,0,0.0,6443,,1980456,BA02_VO483,,Argentina: Buenos Aires,,2002,PARTIAL,L,,False
PP151168.1,PP151168,"PP151168.1 Orthohantavirus andesense isolate BA02_RJF487 RNA-dependent RNA polymerase gene, partial cds",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6443,0.3729629054788142,59e469e67f7ac04af3191a4bd404f0e82a06d1ee385d3fb7d6bc60ecd8cd4b56,within_expected_range,0.3273319882042527,0.1567592736302964,0.2162036318485177,0.2997051063169331,0,0,0.0,6443,,1980456,BA02_RJF487,,Argentina: Buenos Aires,,2002,PARTIAL,L,,False
