accession,accession_no_version,description,package,target_short_name,target_scientific_name,target_taxid,species,taxid,segment,length,gc_content,seq_sha256,length_qc_flag,freq_A,freq_C,freq_G,freq_T,n_count,ambiguous_other_count,ambiguous_rate,valid_like_count,species_ncbi,taxid_ncbi,isolate,host,country,region,collection_date,nuc_completeness,segment_metadata,metadata_title,is_duplicate_seq_within_species_segment
MN850093.1,MN850093,"MN850093.1 Orthohantavirus andesense strain AREB14/P1 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6464,0.3681930693069307,3a7de4e7155aecf2ccdd9a8e1fcdb8a146e0c759de27d0f81fef651e4894c85c,within_expected_range,0.333539603960396,0.1556311881188118,0.2125618811881188,0.2982673267326732,0,0,0.0,6464,,1980456,AREB14/P1,,,,,COMPLETE,L,,False
MN258162.1,MN258162,"MN258162.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_10_12/10/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6528,0.3699142634450507,7ca098894f27f0cbf0c8d4ba4bb063137e82d38288014a8a2904856a846834ae,within_expected_range,0.3312548713951675,0.1557287607170693,0.2141855027279813,0.2988308651597817,113,0,0.0173100490196078,6528,,1980456,Epuyen/18-19_Patient_10_12/10/18,,Argentina,,,COMPLETE,L,,False
MN850095.1,MN850095,"MN850095.1 Orthohantavirus andesense strain AREB14/P3 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6528,0.3673406862745098,24768497cbd4cb6a427e5213a85428ff9a8ee29527acc8d3a089198504a6265c,within_expected_range,0.3334865196078431,0.1548713235294117,0.212469362745098,0.2991727941176471,0,0,0.0,6528,,1980456,AREB14/P3,,,,,COMPLETE,L,,False
MN258163.1,MN258163,"MN258163.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_11_12/15/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6529,0.3690585709904937,3c85db7a3b0c384aaceb7344b87777467405800ba1ff77a2390cee84c4123442,within_expected_range,0.3321067157313707,0.1553204538485127,0.213738117141981,0.2988347132781355,7,0,0.0010721396844846,6529,,1980456,Epuyen/18-19_Patient_11_12/15/18,,Argentina,,,COMPLETE,L,,False
MN258167.1,MN258167,"MN258167.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_15_12/26/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6531,0.3688562241616904,5c39b9711fd7ca290aecf9de9459a35e4379f5666f8762a4f2f05f400a838dd6,within_expected_range,0.33210840606339,0.1552595314653192,0.2135966926963711,0.2990353697749196,0,0,0.0,6531,,1980456,Epuyen/18-19_Patient_15_12/26/18,,Argentina,,,COMPLETE,L,,False
MN258170.1,MN258170,"MN258170.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_18_12/31/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6531,0.3690292758089368,f7592de55ef64663e67d49217d01e3331f028ace6c239d6a26dbb85a847fc0ae,within_expected_range,0.3318952234206471,0.1546995377503852,0.2143297380585516,0.299075500770416,41,0,0.0062777522584596,6531,,1980456,Epuyen/18-19_Patient_18_12/31/18,,Argentina,,,COMPLETE,L,,False
MN850096.1,MN850096,"MN850096.1 Orthohantavirus andesense strain ARCH14/NRC1 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6531,0.3673250650742612,e8828fcacc6a70781637ad68a610d7ded9bb51cedcdb69a82cf16a8e19547517,within_expected_range,0.3313428265196754,0.1538814882866329,0.2134435767876282,0.3013321084060634,0,0,0.0,6531,,1980456,ARCH14/NRC1,,,,,COMPLETE,L,,False
MN258176.1,MN258176,"MN258176.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_24_1/3/19 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6532,0.3687997550520514,ff2f98e6bafe35bf6ee548b2a14375543500da15c5f4c9452d9644c05cd4f1d7,within_expected_range,0.3320575627679118,0.1552357624004899,0.2135639926515615,0.2991426821800367,0,0,0.0,6532,,1980456,Epuyen/18-19_Patient_24_1/3/19,,Argentina,,,COMPLETE,L,,False
MN850097.1,MN850097,"MN850097.1 Orthohantavirus andesense strain ARLA17/NRC2 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6532,0.3675750153092468,6df44fb828850d13e01327375c805e14b3cdd2046be923fdaeb7648f4377d0fe,within_expected_range,0.3320575627679118,0.1538579301898346,0.2137170851194121,0.3003674219228414,0,0,0.0,6532,,1980456,ARLA17/NRC2,,,,,COMPLETE,L,,False
MN258179.1,MN258179,"MN258179.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_27_1/8/19 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6533,0.3687433032297566,01f46be22ff7c0e8dcbc064418a6e724511cbd3fb2ce8201a7f115bcdd2270bc,within_expected_range,0.3320067350375019,0.1552120006122761,0.2135313026174805,0.2992499617327415,0,0,0.0,6533,,1980456,Epuyen/18-19_Patient_27_1/8/19,,Argentina,,,COMPLETE,L,,False
